2024-10-16 21:46:02
68774054,풍기인삼 6년근 파삼 세척삼 750g,"3,467원/100g",26000,1몰,,인삼
65999690,11번가 올스탠다드 6년근 홍삼정 프리미엄 10g 20포,1개,9260,1몰,463원/10g,홍삼/특징: 스틱형
66000122,LG생활건강 24년 추석 선물세트 리튠 녹용진액 골드 50ml 24포,1개,58470,1몰,"2,436원/1포","홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 24일분/특징: 파우치형"
65857769,LG생활건강 24년 추석 선물세트 리튠 홍삼진 제로 골드 60ml 24포,1,42500,1몰,1개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 24일분"
65857775,LG생활건강 24년 추석 선물세트 리튠 홍삼진 제로 골드 60ml 24포,2,198530,3몰,6개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 24일분"
65857727,CJ웰케어 한뿌리 구증구포 흑삼진 스틱 8.2ml 30포,1개,40500,15몰,"1,350원/1포",홍삼/흑삼/특징: 스틱형
65430872,LG생활건강 24년 추석 선물세트 리튠 구증구포 흑삼진 골드 50ml 24포,1,20980,33몰,1개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 24일분/특징: 파우치형/GMP"
65430875,LG생활건강 24년 추석 선물세트 리튠 구증구포 흑삼진 골드 50ml 24포,2,131680,41몰,6개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 24일분/특징: 파우치형/GMP"
67265801,종근당건강 녹용홍삼 애니타임 골드 10ml 30포 (빠른배송),1,28500,1몰,1개,"홍삼/형태: 음료(액상)/섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/원재료: 6년근/기능성: 면역력 증진"
67265798,종근당건강 녹용홍삼 애니타임 골드 10ml 30포 (빠른배송),2,28500,1몰,3개,"홍삼/형태: 음료(액상)/섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/원재료: 6년근/기능성: 면역력 증진"
66133076,금산인삼협동조합 리얼진 나이스 홍삼스틱 15ml 30포,1개,35110,8몰,"1,170원/1포",홍삼/특징: 스틱형
65406722,종근당건강 홍삼정 스틱 60포,2개,39550,10몰,330원/1포,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 2개월분/특징: 스틱형/
진세노사이드 1일함량:4.8mg/건강기능식품/GMP/기능성: 면역력 증진, 항산화"
65406608,종근당건강 홍삼 녹용 프리미엄 선물세트 30포,1,23650,4몰,1개,"홍삼/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형"
65406689,종근당건강 홍삼 녹용 프리미엄 선물세트 30포,2,112970,5몰,8개,"홍삼/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형"
65406674,정관장 홍삼진고 이뮨 스틱 10g 30포,1,28040,50몰,1개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1포/섭취기간: 15일분/특징: 스틱형/
진세노사이드 1일함량:3.7mg/건강기능식품/이력추적/기능성: 면역력 증진, 항산화"
65406587,정관장 홍삼진고 이뮨 스틱 10g 30포,2개,60990,5몰,"1,017원/1포","홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1포/섭취기간: 15일분/특징: 스틱형/
진세노사이드 1일함량:3.7mg/건강기능식품/이력추적/기능성: 면역력 증진, 항산화"
65406599,정관장 홍삼진고 이뮨 스틱 10g 30포,2,127990,2몰,4개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회, 1포/섭취기간: 15일분/특징: 스틱형/
진세노사이드 1일함량:3.7mg/건강기능식품/이력추적/기능성: 면역력 증진, 항산화"
65406641,정관장 다보록 감사편 휘(輝),5개,222050,6몰,"44,410원/1세트","홍삼/형태: 음료(액상), 환/섭취대상: 성인남녀/특징: 선물세트/홍삼진본 40ml x 15포/홍삼정환 12.6g x 2개/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
65338439,LG생활건강 24년 추석 선물세트 리튠 홍삼진 골드 60ml 24포,1,16880,48몰,1개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 24일분/특징: 파우치형/GMP"
65338442,LG생활건강 24년 추석 선물세트 리튠 홍삼진 골드 60ml 24포,2,105190,44몰,6개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 24일분/특징: 파우치형/GMP"
66132614,CJ 한뿌리 흑삼 지천보 진녹 60ml 30포,1개,144160,36몰,,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:10mg/건강기능식품/GMP/기능성: 면역력 증진, 항산화"
64436816,농협홍삼 한삼인 홍삼정 프라임S 240g,1,180170,6몰,1개,"홍삼/형태: 음료(액상), 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1g/섭취기간: 80일분/
진세노사이드 1일함량:21mg/건강기능식품/기능성: 면역력 증진, 항산화"
67605749,농협홍삼 한삼인 홍삼정 프라임S 240g,2,355509,3몰,2개,"홍삼/형태: 음료(액상), 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1g/섭취기간: 80일분/
진세노사이드 1일함량:21mg/건강기능식품/기능성: 면역력 증진, 항산화"
64436765,농협홍삼 한삼인 천지옥고 홍삼진 50g,6개,49900,4몰,166원/1g,"홍삼/형태: 음료(액상), 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 8g/섭취기간: 6일분/
진세노사이드 1일함량:4mg/원재료: 6년근/건강기능식품/GMP/이력추적/기능성: 면역력 증진, 항산화"
64436627,농협홍삼 한삼인 홍삼정 프라임S 120g,1개,107800,1몰,898원/1g,"홍삼/형태: 음료(액상), 농축액/섭취횟수, 양: 1일 3회, 1g/섭취기간: 40일분/
진세노사이드 1일함량:21mg/건강기능식품/기능성: 면역력 증진, 항산화"
64272422,삼흥 강개상인 수삼세트-수(秀) 400g,1개,45000,8몰,"11,250원/100g",수삼/특징: 선물세트/국내산
67346003,대한민국농수산 특품 금산 인삼 수삼 더덕 선물세트,,34690,1몰,,
63088430,정관장 장수:율 근 30병,1개,200990,29몰,"6,700원/1병","홍삼/형태: 캡슐,정, 음료(액상), 농축액/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/
진세노사이드 1일함량:10mg/건강기능식품/기능성: 관절, 연골 건강, 면역력 증진, 항산화, 혈중 콜레스테롤 개선"
67465250,정관장 홍삼정 에브리타임 소프트 10ml 20포,1개,54000,3몰,"2,700원/10ml","홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 20일분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
67465244,정관장 홍삼정 에브리타임 소프트 10ml 50포,1개,125020,6몰,"2,500원/10ml","홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 50일분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
61725545,충북인삼농협 키즈튼튼 홍삼롱스틱 30포,1,43380,19몰,1개,"홍삼/형태: 음료(액상)/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/건강기능식품/GMP"
61725587,충북인삼농협 키즈튼튼 홍삼롱스틱 30포,2,100000,1몰,2개,"홍삼/형태: 음료(액상)/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/건강기능식품/GMP"
61725602,충북인삼농협 키즈튼튼 홍삼롱스틱 30포,3개,115000,2몰,"1,278원/1일","홍삼/형태: 음료(액상)/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/건강기능식품/GMP"
61725632,충북인삼농협 키즈튼튼 홍삼롱스틱 30포,4개,224520,1몰,"1,871원/1일","홍삼/형태: 음료(액상)/섭취대상: 유아,청소년/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/건강기능식품/GMP"
60495122,정관장 홍삼오일 RXGIN CLEAN 502mg 60캡슐,1,502500,33몰,3개,"형태: 캡슐,정/섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 2캡슐/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 면역력 증진, 전립선 건강"
60495143,정관장 홍삼오일 RXGIN CLEAN 502mg 60캡슐,2,794210,21몰,4개,"형태: 캡슐,정/섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 2캡슐/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 면역력 증진, 전립선 건강"
60495146,정관장 홍삼오일 RXGIN CLEAN 502mg 60캡슐,5개,1075170,12몰,"3,584원/1일","형태: 캡슐,정/섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 2캡슐/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 면역력 증진, 전립선 건강"
60495089,정관장 홍삼오일 RXGIN CLEAN 502mg 60캡슐,6개,1279250,20몰,"3,553원/1일","형태: 캡슐,정/섭취대상: 성인남성/섭취횟수, 양: 1일 1회, 2캡슐/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 면역력 증진, 전립선 건강"
60204308,에치와이(HY) 발휘 발효홍삼K 키성장엔 HTO42 60포,1,205190,40몰,1개,"홍삼/형태: 젤리/섭취대상: 유아,청소년/섭취횟수, 양: 1일 2회, 1포/섭취기간: 1개월분/특징: 스틱형/GMP/이력추적/기능성: 면역력 증진"
60204353,에치와이(HY) 발휘 발효홍삼K 키성장엔 HTO42 60포,2,390380,40몰,2개,"홍삼/형태: 젤리/섭취대상: 유아,청소년/섭취횟수, 양: 1일 2회, 1포/섭취기간: 1개월분/특징: 스틱형/GMP/이력추적/기능성: 면역력 증진"
60204065,에치와이(HY) 발휘 발효홍삼K 키성장엔 HTO42 60포,3개,611090,5몰,"3,395원/1일","홍삼/형태: 젤리/섭취대상: 유아,청소년/섭취횟수, 양: 1일 2회, 1포/섭취기간: 1개월분/특징: 스틱형/GMP/이력추적/기능성: 면역력 증진"
60067238,푸름웰니스 프리미엄 6년근 홍삼스틱 블랙 100포,1개,83060,40몰,831원/1일,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1포/섭취기간: 100일분/특징: 스틱형/이력추적"
60010178,한국인삼공사 정관장 화애락 뷰티부스터 14개입,1,61100,84몰,1개,"홍삼/형태: 캡슐,정, 음료(액상)/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1병/섭취기간: 2주분/건강기능식품/기능성: 피부 건강/비오틴"
60331421,한국인삼공사 정관장 화애락 뷰티부스터 14개입,2개,139890,40몰,"4,996원/1일","홍삼/형태: 캡슐,정, 음료(액상)/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1병/섭취기간: 2주분/건강기능식품/기능성: 피부 건강/비오틴"
60247574,한국인삼공사 정관장 화애락 뷰티부스터 14개입,3개,210030,22몰,"5,001원/1일","홍삼/형태: 캡슐,정, 음료(액상)/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1병/섭취기간: 2주분/건강기능식품/기능성: 피부 건강/비오틴"
60247577,한국인삼공사 정관장 화애락 뷰티부스터 14개입,2,245990,47몰,4개,"홍삼/형태: 캡슐,정, 음료(액상)/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1병/섭취기간: 2주분/건강기능식품/기능성: 피부 건강/비오틴"
60331127,종근당 활력 관절 보환 30환,1개,26900,10몰,897원/1일,"건강보조식품/형태: 환/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1환/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 관절 건강"
60331373,종근당 활력 관절 보환 30환,1,52420,23몰,2개,"건강보조식품/형태: 환/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1환/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 관절 건강"
60046517,종근당 활력 관절 보환 30환,3개,97840,13몰,"1,087원/1일","건강보조식품/형태: 환/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1환/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 관절 건강"
60331382,종근당 활력 관절 보환 30환,2,112240,18몰,4개,"건강보조식품/형태: 환/섭취대상: 성인남녀, 시니어/섭취횟수, 양: 1일 1회, 1환/섭취기간: 1개월분/건강기능식품/이력추적/기능성: 관절 건강"
57633998,금산이가홍삼 6년근 고려흑삼분말 300g,1개,92860,6몰,310원/1g,"형태: 분말/섭취대상: 성인남녀/섭취횟수, 양: 1일 2회 2g/섭취기간: 75일분/기능성: 영양보충"
65349437,고려인삼 피부직삼 건삼 6년근1등8편 농협 말린 우리땅 우리농부,,63750,2몰,,
57484694,울릉산림농산 마가보감 신비의 나무 마가목 울릉도 60포,1개,328990,24몰,"5,483원/1일",
57484490,종근당 발효홍삼 컴파운드K 플러스 30포,1,148990,8몰,1개,
57484310,종근당 발효홍삼 컴파운드K 플러스 30포,2,275770,5몰,2개,
57484499,종근당 발효홍삼 컴파운드K 플러스 30포,3개,407690,5몰,"4,530원/1일",
57484616,종근당 발효홍삼 컴파운드K 플러스 30포,4개,551390,3몰,"4,595원/1일",
64811177,대명이네 세척진공원삼소 5뿌리 250g,1개,15150,3몰,61원/1개,인삼
57491078,종근당건강 목이 칼칼할땐 모겐잘 35포,2,29990,41몰,1개,"형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1포/섭취기간: 35일분/특징: 스틱형/HACCP"
57052085,종근당건강 목이 칼칼할땐 모겐잘 35포,1,50320,54몰,2개,"형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1포/섭취기간: 35일분/특징: 스틱형/HACCP"
57052094,종근당건강 목이 칼칼할땐 모겐잘 35포,3개,77420,32몰,737원/1일,"형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1포/섭취기간: 35일분/특징: 스틱형/HACCP"
57052109,종근당건강 목이 칼칼할땐 모겐잘 35포,4개,97240,38몰,695원/1일,"형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1포/섭취기간: 35일분/특징: 스틱형/HACCP"
57052130,종근당건강 목이 칼칼할땐 모겐잘 35포,6개,141350,10몰,673원/1일,"형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~3회, 1포/섭취기간: 35일분/특징: 스틱형/HACCP"
68164598,금산수삼시장 세척안함 콩난발인삼 1채750g 30뿌리내외,,24900,2몰,,
66108716,금산수삼시장 인삼선물세트 원수삼특대 2채 선물세트,,120000,2몰,,
54410600,정관장 홍삼진활력 35ml 30포,1,102200,21몰,2개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/건강기능식품"
59878001,정관장 홍삼진활력 35ml 30포,4개,219000,4몰,"1,825원/1일","홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/건강기능식품"
59878034,정관장 홍삼진활력 35ml 30포,5개,290600,11몰,"1,937원/1일","홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/건강기능식품"
59878022,정관장 홍삼진활력 35ml 30포,2,287000,15몰,6개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/건강기능식품"
59877773,정관장 홍삼진활력 35ml 30포,7개,330000,4몰,"1,571원/1일","홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/건강기능식품"
59069996,금산수삼시장 인삼선물세트 원수삼대 2채 선물세트,,100000,2몰,,
66502937,농협홍삼 한삼인 홍삼진 굿데이 앰플 20g,20개,43740,34몰,"1,094원/10g",홍삼
52108142,씨너지아이앤티 메디트리 사랑담은 침향환 골드 3.75g 30환,2개,40380,2몰,673원/1일,형태: 환/섭취대상: 성인남녀
50073104,한명장인삼 선물세트 실속A,1개,39790,2몰,"39,790원/1개",홍삼/특징: 선물세트
50073089,한명장인삼 선물세트 실속B,"46,800원/1개",46800,1몰,,홍삼/특징: 선물세트
50073026,한명장인삼 선물세트 정성A,"49,800원/1개",49800,1몰,,홍삼/특징: 선물세트
50073017,한명장인삼 선물세트 정성B,"57,800원/1개",57800,1몰,,홍삼/특징: 선물세트
68241020,대한민국농수산 산에서 자란 토종 산양삼 선물세트,,35630,1몰,,
49733363,풍기인삼 5년근 수삼 1채 7-8뿌리 750g,1개,68790,27몰,"9,172원/100g",수삼/국내산
49694285,진명 녹용홍삼 진 70ml 30포,1개,15660,1몰,75원/10ml,홍삼
49275065,니몸내몸 6년근 장홍삼 에브리데이 홍삼 스틱 110포,2,34900,9몰,1개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 110일분/특징: 스틱형/HACCP/기능성: 면역력 증진"
55795907,니몸내몸 6년근 장홍삼 에브리데이 홍삼 스틱 110포,2개,69800,1몰,317원/10g,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 110일분/특징: 스틱형/HACCP/기능성: 면역력 증진"
55795913,니몸내몸 6년근 장홍삼 에브리데이 홍삼 스틱 110포,1,104700,1몰,3개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 110일분/특징: 스틱형/HACCP/기능성: 면역력 증진"
49275074,니몸내몸 6년근 장홍삼 에브리데이 홍삼 스틱 30포,1개,26900,4몰,897원/10g,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/HACCP/기능성: 면역력 증진"
47924693,고려홍삼코리아 고려영지정 골드 120g,3개,25930,2몰,"7,203원/100g",섭취대상: 성인남녀
64373957,맘스킹 강원인삼농협 6년근 수삼 선물세트 4호 1kg 9-10편,,116370,8몰,,
47924960,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,1,63890,15몰,1개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47925026,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,2,155700,2몰,3개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47924948,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,4개,207600,2몰,865원/10ml,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47924963,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,5개,259500,2몰,865원/10ml,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47924951,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,6개,311400,1몰,865원/10ml,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47924966,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,7개,363300,1몰,865원/10ml,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47924753,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,8개,415200,1몰,865원/10ml,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47925029,고려인삼주식회사 려원담 활기담 6년근 홍삼앰플 30개입,9개,467100,1몰,865원/10ml,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1병/섭취기간: 1개월분/HACCP"
47394371,정관장 홍삼정 에브리타임 소프트 10ml 30포,1,68300,127몰,1개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
48736790,정관장 홍삼정 에브리타임 소프트 10ml 30포,2개,152050,33몰,"2,534원/10ml","홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
48736820,정관장 홍삼정 에브리타임 소프트 10ml 30포,2,204890,40몰,3개,"홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
48736796,정관장 홍삼정 에브리타임 소프트 10ml 30포,4개,306750,27몰,"2,556원/10ml","홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
48736727,정관장 홍삼정 에브리타임 소프트 10ml 30포,5개,383570,25몰,"2,557원/10ml","홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
48736718,정관장 홍삼정 에브리타임 소프트 10ml 30포,6개,460510,23몰,"2,558원/10ml","홍삼/형태: 음료(액상)/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 스틱형/
진세노사이드 1일함량:7mg/원재료: 6년근/건강기능식품/기능성: 면역력 증진, 항산화"
47356781,고려인삼 입춘허브 홍삼세미 1등급 300g,1개,37400,2몰,"12,467원/100g",홍삼
45311078,정관장 홍삼정 에브리타임 10ml 1포,1개,3620,6몰,"3,620원/10ml","홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1일분/특징: 스틱형/
진세노사이드 1일함량:11.6mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
61811906,초록초록팜 담양 GAP 인증 새싹삼 70 뿌리 15cm내외 소 일반형,,25010,15몰,,
44891114,정관장 홍삼활력 플러스 40ml 30포,2,472100,3몰,11개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:3.6mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
44890937,정관장 홍삼활력 플러스 40ml 30포,1,434410,19몰,12개,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:3.6mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
44891132,정관장 홍삼활력 플러스 40ml 30포,13개,557900,1몰,358원/10ml,"홍삼/형태: 음료(액상)/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1포/섭취기간: 1개월분/특징: 파우치형/
진세노사이드 1일함량:3.6mg/원재료: 6년근/건강기능식품/기능성: 기억력 개선, 면역력 증진, 항산화, 혈행개선"
