Name,Spec,Name
CJ ENM 락토페린 쏙 다이어트 시크릿,"[주요성분] 락토페린/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/섭취기간: 20주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 체지방감소/
[기능성분] 락토페린: 270mg/비타민B6: 0.45mg/판토텐산: 1.5mg/아연: 3mg"
뉴트리원 뉴트리원라이프 루테인 지아잔틴선물세트,"[주요성분] 루테인/지아잔틴/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/섭취기간: 2개월/형태: 캡슐,정/특징: 선물세트/
[인증] 건강기능식품/GMP/기능성: 눈 건강/
[기능성분] 루테인: 16mg/지아잔틴: 4mg/A: 210㎍/B1: 0.36mg/B2: 0.42mg/E: 3.3mga-TE/아연: 2.55mg/셀레늄: 16.5㎍"
뉴트리원 뉴트리원라이프 루테인 지아잔틴 164 에이엑스,"[주요성분] 루테인/아스타잔틴/지아잔틴/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 눈 건강/
[기능성분] 루테인: 16mg/지아잔틴: 4mg/아스타잔틴: 4mg/비타민A: 210㎍RE/비타민B1: 0.36mg/비타민B2: 0.42mg/비타민E: 3.3mgα-TE/아연: 2.55mg/셀레늄: 16.5㎍"
뉴트리원 뉴트리원라이프 혈당&혈행건강 퍼펙트 솔루션,"[주요성분] 징코(은행잎)/코로솔산(바나바잎)/코큐텐(코엔자임Q10)/홍국/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 기억력 개선, 항산화, 혈당조절, 혈압조절, 혈중 콜레스테롤 개선, 혈행개선/
[기능성분] 총모나콜린 K: 8mg/플라보놀배당체: 36mg/코로솔산: 1.3mg/코엔자임Q10: 100mg"
뉴트리원 루테인 지아잔틴 164 메모리케어,"[주요성분] 루테인/지아잔틴/징코(은행잎)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 기억력 개선, 눈 건강/
[기능성분] 루테인: 16mg/지아잔틴: 4mg/플라보놀배당체: 28mg/비타민A: 210㎍RE/비타민B1: 0.36mg/비타민B2: 0.42mg/나이아신: 4.5mgNE/판토텐산: 1.5mg/비오틴: 9㎍/비타민E: 3.3mgα-TE/아연: 2.55mg/셀레늄: 16.5㎍/망간: 0.9mg"
뉴트리원 르시크릿 에스트로업,"[주요성분] 대두이소플라본/소포리코사이드(회화나무열매)/홍삼/
[섭취정보] 섭취대상: 성인여성/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 갱년기 개선, 기억력 개선, 면역력 증진, 뼈 건강, 항산화, 혈행개선/
[기능성분] 소포리코사이드: 35mg/진세노사이드(Rg1+Rb1+Rg3): 3mg/대두이소플라본(비배당체): 24mg/비타민A: 700㎍RE/비타민B1: 1.2mg/비타민B2: 1.4mg/비타민B6: 1.5mg/비오틴: 30㎍/비타민C: 100mg/비타민D: 10㎍/비타민E: 11mgα-TE/비타민K: 70㎍/아연: 8.5mg"
뉴트리원 비비랩 다이어트 앤 유산균,"[주요성분] 프로바이오틱스/가르시니아(HCA)/보장균수(CFU): 10억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 14포/섭취기간: 2주/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강, 체지방감소/
[기능성분] HCA: 750mg/비타민C: 50mg"
뉴트리플레어 리포좀 글루타치온 세트리아,"글루타치온/섭취대상: 여성, 남성, 시니어/섭취횟수, 양: 1일 2캡슐/형태: 캡슐,정/기능성: 피부건강, 항산화/글루타치온700mg"
늘푸른 배대감 허니허니 통곡물 프로틴 선식,"선식/단백질함유: 산양유, 농축유청단백(WPC), 분리유청단백(WPI), 분리대두단백(ISP)/형태: 분말/섭취횟수, 양: 1회 1포/
[영양정보] 표시기준량: 30g/열량: 120kcal"
다움 김수경박사의 오행 1일1생식,"생식/형태: 분말/섭취횟수, 양: 1일 1~3회, 1회 25g"
닥터린 WCS 슈퍼 글루타치온 맥스,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1매/총량: 300매/섭취기간: 10개월/형태: 구강용해필름"
닥터린 WCS 콘드로이친 1200 콘레이티+MBP,"[주요성분] MBP(유단백)/콘드로이친/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 360정/섭취기간: 12개월/형태: 캡슐,정"
닥터린 루바브 DK,"[주요성분] 루바브/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1정/총량: 28정/섭취기간: 4주/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 갱년기 개선/
[기능성분] Rhaponticin: 2.52mg/비타민D: 10μg/비타민K: 70μg"
닥터린 세라티크 세라마이드,"[주요성분] 글루코실세라마이드/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 30캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 피부 보습/
[기능성분] 글루코실세라마이드: 7.434mg"
닥터린 슈퍼 글루타치온,"[주요성분] 글루타치온/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 구강용해필름"
닥터린 초임계 알티지 오메가3,"[주요성분] 오메가3/rTG형(3세대)/초임계(저온 추출법)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 360캡슐/섭취기간: 12개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/GMP/기능성: 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 600mg"
닥터프리오 더다른 보스웰리아,"[주요성분] 보스웰리아/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 60정/섭취기간: 1개월/형태: 캡슐,정"
대상웰라이프 NZMA 녹용 마누카꿀 UMF 15+,"수입꿀/함량: 마누카꿀 97.5%, 녹용 2.5%"
대상웰라이프 뉴케어 당플랜 프로 MPB 플랜 호두맛,"당뇨환자용 영양식/형태: 음료(액상)/
[영양정보] 1회제공량 230ml당 열량: 140kcal/탄수화물: 16g/당류: 2g/단백질: 12g/지방: 6g/포화지방: 0.6g/트랜스지방: 0g/콜레스테롤: 8mg/나트륨: 173mg"
대상웰라이프 뉴케어 당플랜 프로 인절미맛,당뇨환자용 영양식/형태: 음료(액상)/특징: 테트라팩
대상웰라이프 뉴케어 액티브 골든프레임 곡물맛,"[주요성분] N-아세틸글루코사민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1팩/총량: 10팩/섭취기간: 10일/형태: 음료(액상)/
[인증] 건강기능식품/기능성: 관절, 연골 건강/
[기능성분] N-아세틸글루코사민: 500mg/칼슘: 210mg/마그네슘: 95mg/아연: 8.5mg/비타민E: 7mgα-TE/단백질성분: 농축유청단백(WPC), 분리대두단백(ISP), 카제인"
대상웰라이프 뉴케어 액티브 골든프레임 밀크맛,"[주요성분] N-아세틸글루코사민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1팩/총량: 24팩/섭취기간: 24일/형태: 음료(액상)/
[인증] 건강기능식품/기능성: 관절, 연골 건강/
[기능성분] N-아세틸글루코사민: 500mg/칼슘: 210mg/마그네슘: 95mg/아연: 8.5mg/비타민E: 7mgα-TE/단백질성분: 농축유청단백(WPC), 분리대두단백(ISP), 카제인"
대상웰라이프 마이밀 프로틴 블랙,"선식/형태: 분말/섭취횟수, 양: 1회 2스푼/프로틴 종류: 분리유청단백(WPI), 분리대두단백(ISP)"
대상웰라이프 아르포텐 솔루션,"헬스보충제/종류: 아르기닌/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/섭취기간: 4주/형태: 음료(액상)/
[인증] 건강기능식품/
[기능성분] L-아르기닌: 6,000mg/나이아신: 15mgNE/비타민B6: 1.5mg"
더 콜라테인 바디밸런스,"[주요성분] 콜라겐/피쉬 콜라겐/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 3회, 1회 1~3포/총량: 90포/섭취기간: 10일/형태: 분말/특징: 스틱형"
데이즈온 오한진 프리바이오틱스 FOS 트리플,"[주요성분] 신바이오틱스/보장균수(CFU): 1억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 370포/섭취기간: 370일/형태: 분말/특징: 스틱형/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강/
[기능성분] 프락토올리고당: 3.2g/아연: 2.55mg"
덴프스 덴마크 유산균이야기,"[주요성분] 프로바이오틱스/보장균수(CFU): 100억/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1캡슐/총량: 600캡슐/섭취기간: 20개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 배변활동 원활, 장 건강"
덴프스 트루 식물성 오메가 900,"[주요성분] 오메가3/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2캡슐/총량: 60캡슐/섭취기간: 1개월/형태: 캡슐,정/특징: 개별포장(PTP)/
[인증] 건강기능식품/기능성: 기억력 개선, 눈 건강, 혈중 중성지질 개선, 혈행개선/
[기능성분] EPA+DHA: 900mg"
덴프스 트루바이타민 X,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민B1: 60mg/비타민B2: 70mg/비타민B6: 75mg/비타민C: 500mg/비타민A: 700㎍RE/비타민D: 10㎍/비타민E: 11mgα-TE"
덴프스 트루바이타민 초이스,"[주요성분] 종합비타민/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 300포/섭취기간: 10개월/형태: 캡슐,정/
[인증] 건강기능식품/기능성: 영양보충/
[기능성분] 비타민B1: 60mg/비타민B2: 70mg/비타민B6: 75mg/비오틴: 1,500㎍/비타민B12: 120㎍/비타민C: 500mg/비타민A: 700㎍RE/비타민D: 10㎍/비타민E: 11mgα-TE"
덴프스 휘게엔자임 액티브 Soy,"[주요성분] 효소/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 30포/섭취기간: 1개월/형태: 분말/특징: 스틱형"
덴프스 휘게엔자임 액티브 Soy+Fine,"[주요성분] 효소/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/총량: 180포/섭취기간: 6개월/형태: 분말/특징: 스틱형/
[구성] Soy 30포 x 3개+Fine 30포 x 3개"
동국제약 혈행N 아르기닌 마스터,"헬스보충제/종류: 아르기닌/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1병/섭취기간: 24주/형태: 음료(액상)/
[인증] 건강기능식품/기능성: 혈행개선/
[기능성분] L-아르기닌: 6,000mg/나이아신: 15mgNE/비타민B6: 1.5mg"
동화약품 관절엔 소연골 뮤코다당 단백 콘드로이친 1200,"[주요성분] 콘드로이친(뮤코다당 단백)/
[섭취정보] 섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 2정/총량: 30정/섭취기간: 15일/형태: 캡슐,정/
[인증] 건강기능식품/GMP/기능성: 관절, 연골 건강/
[기능성분] 뮤코다당 단백 1,200mg"
래오이경제 더힘찬 녹용 블랙,"건강즙/녹용즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1~2회, 1회 1포"
래오이경제 홍삼먹은 장어 진액,"건강즙/장어즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포"
래오이경제 흑염소진액원元,"건강즙/흑염소즙/섭취대상: 성인남녀/섭취횟수, 양: 1일 1회, 1회 1포/흑염소혼합추출액 100%(고형분 2%, 흑염소 30%, 뽕나무잎 8.5%)"
